Id,SalePrice
893,149349.80082870706
1106,317659.4487512153
414,113287.93485147256
523,157164.68727879753
1037,315535.0386168809
615,78822.44616706869
219,275516.904195604
1161,148231.37203783938
650,83472.09423556476
888,132732.399381657
577,149884.83525032076
1253,125734.60682263247
1062,87307.59757343768
568,214697.8867426776
1109,179808.68555799965
1114,131976.21434762652
169,188609.89624561655
1103,135006.88911213804
1121,114537.17893742543
68,214342.34819540445
1041,159716.19057754165
454,212656.98338140952
671,173698.8669443449
1095,127079.77885562257
193,192883.19817125375
124,159835.14851593584
416,182141.19724595605
278,128351.89394944358
434,178998.2721336948
1318,205984.81164548363
185,126168.5745543748
555,273172.61823394435
1174,184883.32472887856
77,126907.63547957633
907,255478.53492531294
675,144052.6474928784
1399,140151.07575818108
375,216668.39416661285
1033,307457.19279927603
260,100165.39721174892
52,117411.4011970048
245,218207.8509986969
1102,121135.24307562724
582,290451.91726560215
680,131803.3321042061
1133,120577.21538143243
1221,116106.30955237683
50,127716.86018191797
592,430884.61865579284
1270,143707.34343156742
1250,121137.29300826101
1139,192195.9956945842
491,113044.5041503642
1025,295577.0997341798
812,144650.7101223092
142,254215.17356058134
847,205947.77816181607
926,165255.60715918484
773,119111.91452011891
533,106861.25586203027
30,67560.17249341626
1300,151574.8487958574
66,313447.17639191577
766,262778.12687356194
1348,283136.3554747542
176,223321.9600610548
395,108657.5469805341
620,306242.62217950885
1132,101695.1462190117
116,173775.63529906666
895,121310.7434095865
1222,133732.372587234
428,112725.13279955018
737,92994.37672945656
899,528572.3061059838
683,169288.5939634435
991,335710.7456396225
719,328417.80797389854
45,139819.66526127837
60,124181.59879584123
364,110317.52780622005
399,74809.95848304832
423,116497.02061529153
495,96029.46773875933
417,153205.22369232457
585,130820.20913025936
271,263890.94909384125
352,197346.52598003435
1079,150780.16214623995
1345,167991.47272104953
837,148432.08452594565
644,156777.3972570483
275,126254.34948281338
323,282459.5351312222
79,133462.53112503974
923,171701.2476394965
276,192165.7242890915
1266,174142.19287899917
221,207964.04469385976
317,247934.94918733064
1007,168652.59305983037
1241,219458.2139664837
71,254803.7878853185
16,142053.22089936436
1165,189227.79503303402
1321,158228.18548851798
755,147906.78056106513
721,274479.27516492433
